"sample_name","initial_group","sample_id"
"Sample_1_LivingDonor","LivingDonor","1"
"Sample_2_LivingDonor","LivingDonor","2"
"Sample_3_LivingDonor","LivingDonor","3"
"Sample_4_LivingDonor","LivingDonor","4"
"Sample_5_LivingDonor","LivingDonor","5"
"Sample_6_LivingDonor","LivingDonor","6"
"Sample_7_LivingDonor","LivingDonor","7"
"Sample_8_LivingDonor","LivingDonor","8"
"Sample_122","DiseaseSample","122"
"Sample_297","DiseaseSample","297"
"Sample_222","DiseaseSample","222"
"Sample_91","DiseaseSample","91"
"Sample_139","DiseaseSample","139"
"Sample_322","DiseaseSample","322"
"Sample_247","DiseaseSample","247"
"Sample_228","DiseaseSample","228"
"Sample_254","DiseaseSample","254"
"Sample_330","DiseaseSample","330"
"Sample_143","DiseaseSample","143"
"Sample_60","DiseaseSample","60"
"Sample_240","DiseaseSample","240"
"Sample_172","DiseaseSample","172"
"Sample_331","DiseaseSample","331"
"Sample_214","DiseaseSample","214"
"Sample_29","DiseaseSample","29"
"Sample_5","DiseaseSample","5"
"Sample_274","DiseaseSample","274"
"Sample_10","DiseaseSample","10"
"Sample_89","DiseaseSample","89"
"Sample_105","DiseaseSample","105"
"Sample_273","DiseaseSample","273"
"Sample_263","DiseaseSample","263"
"Sample_311","DiseaseSample","311"
"Sample_128","DiseaseSample","128"
"Sample_267","DiseaseSample","267"
"Sample_321","DiseaseSample","321"
"Sample_219","DiseaseSample","219"
"Sample_243","DiseaseSample","243"
"Sample_292","DiseaseSample","292"
"Sample_300","DiseaseSample","300"
"Sample_21","DiseaseSample","21"
"Sample_132","DiseaseSample","132"
"Sample_58","DiseaseSample","58"
"Sample_314","DiseaseSample","314"
"Sample_146","DiseaseSample","146"
"Sample_184","DiseaseSample","184"
"Sample_7","DiseaseSample","7"
"Sample_298","DiseaseSample","298"
"Sample_242","DiseaseSample","242"
"Sample_176","DiseaseSample","176"
"Sample_79","DiseaseSample","79"
"Sample_11","DiseaseSample","11"
