"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002443","GO:0002443","leukocyte mediated immunity","122/1610","488/18860",0.25,2.92857142857143,13.1869736890987,2.43715266467433e-28,1.39380760892725e-24,1.07209063007095e-24,"FGR/BTK/TYROBP/WAS/SLAMF7/TNFRSF1B/CD84/SPI1/PTPRC/LAT2/MAVS/ICAM1/UNC13D/TREM2/IL12RB1/CSF2RB/IL2RB/CTSG/GZMB/CHGA/GATA1/CORO1A/FCER2/IL4I1/LILRB1/IL27RA/TGFB1/NKG7/JAK3/PIK3CG/GATA3/IFNG/CD2/CR2/NR4A3/CCR2/SASH3/NCKAP1L/DBH/IL1B/CD70/C3/HCST/ADGRE2/RAC2/BST2/ULBP3/PRAM1/HAVCR2/MYO1G/CD27/SECTM1/VAV1/XCL1/FCGR2A/FCGR1A/CD96/KIT/CD1D/CD1C/FCER1G/C1QC/SPON2/ITGB2/SCIMP/FCMR/C2/NOD2/CD300A/CX3CR1/INPP5D/LGALS9/ITGAM/PIK3CD/RASGRP4/C1QB/C1QA/CD7/CD19/GATA2/FUT7/PRF1/TIGIT/FES/SH2D1A/IRF7/LILRB4/PDCD1/ARID5A/SPN/GZMM/ELANE/SH2D1B/FCGR3A/NCR3/IGLC2/IGLC3/IGHA2/IGHG4/IGHG1/IGHG3/IGHD/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-15/IGHV1-18/IGHV3-20/IGHV3-21/IGHV3-33/IGHV4-34/IGHV4-39/IGHV4-61/IGHV4-59/LTA/TNF/LYN/IGLL5/IGHV3-30/MILR1/CCL3/IGHV1-69D",122
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","102/1610","385/18860",0.264935064935065,3.10352504638219,12.7398274899563,5.77726344344439e-26,1.65200848165292e-22,1.27069389106074e-22,"FGR/CD38/BTK/TYROBP/LTF/BCAR1/PTPRC/FYB1/FCN1/LAT2/BAX/OAS1/TREM2/NFKBIA/NFATC2/HCK/CSK/CD276/KCNN4/FCER2/LILRB1/PRKD2/CD79A/CD33/LIMK1/GATA3/IFNG/PDE4D/CBLB/ZAP70/CR2/NR4A3/NCKAP1L/C3/FFAR2/NR1D1/FCHO1/LILRB2/GPS2/PRAM1/IRAK2/MYO1G/VAV1/FCN3/CD53/FCGR2A/TNFRSF21/DGKZ/FCGR1A/MS4A1/KIT/FCER1G/CD3G/SCIMP/LAPTM5/FCMR/TRAT1/CD3D/CD300A/INPP5D/ITGAM/CD14/PIK3CD/C3AR1/CD8B/TLR1/TLR6/CMKLR1/ZNF683/CD19/HLA-DQB1/LCK/SH2D1A/PLA2G6/BTLA/LILRB4/FPR3/FYB2/ADA/CARD11/CD247/CD3E/FCGR3A/LIME1/NCR3/MICB/IGLC3/TRBC1/TRBC2/IGHA2/IGHG4/IGHG1/IGHG3/IGHD/IGHM/TRGC2/NFAM1/LILRA4/LILRA2/LYN/RAB7B/TRAC",102
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway","93/1610","353/18860",0.263456090651558,3.08619991906111,12.0879591309698,1.42002283621928e-23,2.70703686677936e-20,2.08220190616154e-20,"FGR/CD38/BTK/TYROBP/LTF/BCAR1/PTPRC/FYB1/FCN1/LAT2/BAX/OAS1/TREM2/NFKBIA/NFATC2/HCK/CSK/CD276/KCNN4/FCER2/PRKD2/CD79A/LIMK1/GATA3/IFNG/PDE4D/CBLB/ZAP70/CR2/NR4A3/NCKAP1L/C3/FFAR2/NR1D1/FCHO1/GPS2/PRAM1/IRAK2/MYO1G/VAV1/FCN3/CD53/TNFRSF21/DGKZ/MS4A1/FCER1G/CD3G/SCIMP/LAPTM5/FCMR/TRAT1/CD3D/CD300A/INPP5D/ITGAM/CD14/PIK3CD/C3AR1/CD8B/TLR1/TLR6/CMKLR1/ZNF683/CD19/HLA-DQB1/LCK/SH2D1A/PLA2G6/LILRB4/FPR3/FYB2/ADA/CARD11/CD247/CD3E/LIME1/NCR3/MICB/IGLC3/TRBC1/TRBC2/IGHA2/IGHG4/IGHG1/IGHG3/IGHD/IGHM/TRGC2/NFAM1/LILRA2/LYN/RAB7B/TRAC",93
"GO:0050900","GO:0050900","leukocyte migration","97/1610","397/18860",0.244332493702771,2.86218064051817,11.4562806563542,6.11541419514524e-22,8.7435134455089e-19,6.72534629513472e-19,"ITGAL/ITGA2B/CX3CL1/CCL26/ALOX5/CNN2/SPI1/STK10/MMP2/ICAM1/TGFB2/TREM2/HSD3B7/CTSG/CHGA/ASB2/HCK/CORO1A/CCL22/PYCARD/IL27RA/TGFB1/PIK3CG/CCL24/GATA3/CCL8/MDK/CD69/SELPLG/NEDD9/ZAP70/ITGA4/CSF3R/PGF/DUSP1/TNFSF11/CCR2/PLG/NCKAP1L/DBH/PREX1/IL1B/C3/TNFSF14/FFAR2/ADGRE2/RAC2/MYO1G/EMILIN1/VAV1/TRPM2/NLRP12/XCL1/ECM1/PLA2G7/ADAM8/MMP14/KIT/NBL1/MICOS10-NBL1/FCER1G/ITGB2/JAML/CCR5/CXCL16/S100A12/TAFA4/ADORA1/PPBP/CCR1/DEFA4/CD300A/CX3CR1/LGALS9/PIK3CD/C3AR1/IL16/SAA1/CMKLR1/FUT7/CSF1R/LCK/CSF1/CXCR3/TNFRSF18/CNR2/ADA/SPN/ELANE/GPSM3/TNF/LYN/ITGB3/CCL5/CCL4/CCL4L1/CCL3",97
"GO:0002274","GO:0002274","myeloid leukocyte activation","74/1610","255/18860",0.290196078431373,3.39943977591036,11.7853592502005,1.11963170252599e-21,1.28063474134922e-18,9.85040186285493e-19,"FGR/CX3CL1/BTK/TYROBP/SLC11A1/CD84/SPI1/FAM76B/CST7/PTPRC/LAT2/UNC13D/TREM2/CTSG/CHGA/GATA1/PYCARD/RELB/CD37/FCER2/TGFB1/CD33/PIK3CG/IFNG/HAVCR1/FN1/CD2/NR4A3/CCR2/NR4A1/PREX1/MT1G/CD93/NR1D1/ADGRE2/RAC2/LDLR/SYT11/PRAM1/DOCK2/HAVCR2/DYSF/IRF4/CALHM2/VSIG4/KIT/FCER1G/ITGB2/S100A12/CD300A/BATF2/CX3CR1/LGALS9/ITGAM/PIK3CD/IL16/C1QA/TLR1/TLR6/SPHK1/GATA2/FES/CSF1/TAFA3/CD300LF/LILRB4/CNR2/FCGR3A/TNF/LILRA2/LYN/CCL5/MILR1/CCL3",74
"GO:0006935","GO:0006935","chemotaxis","107/1610","474/18860",0.225738396624473,2.64436407474382,11.0769766817154,3.16330361685231e-21,3.01515556412972e-18,2.31920102014488e-18,"SEMA3F/CX3CL1/CCL26/ALOX5/TYMP/BCAR1/SPI1/CXCL2/MMP2/CMTM1/TGFB2/SEMA4G/TREM2/HSD3B7/PPM1F/CTSG/CHGA/CORO1A/CCL22/NOVA2/PRKD2/TGFB1/PIK3CG/CCL24/ENG/CCL8/MDK/BIN2/NEDD9/HRG/CSF3R/PGF/DUSP1/TNFSF11/CCR2/PLAU/NCKAP1L/NR4A1/PREX1/IL1B/C3/TNFSF14/FLRT3/FFAR2/ADGRE2/RAC2/LSP1/DOCK2/PDGFRA/SEMA4F/SEMA6D/SEMA7A/VAV1/TRPM2/EPHA2/XCL1/PLA2G7/NOTCH1/ADAM8/KIT/NBL1/MICOS10-NBL1/FCER1G/ITGB2/JAML/CCR5/CXCL16/S100A12/TAFA4/PPBP/RYK/CCR1/DEFA4/SEMA6B/CX3CR1/SEMA4C/LGALS9/RNASE2/RNASE3/PTAFR/PIK3CD/C3AR1/IL16/SAA1/CMKLR1/FOSL1/RHOG/FES/CSF1R/CSF1/PLA2G6/CXCR3/FPR3/CNR2/SPN/ELANE/L1CAM/GPSM3/LYN/ITGB3/CCL5/CCL4/CCL18/CCL4L1/CCL3L1/CCL3L3/CCL3",107
"GO:0042330","GO:0042330","taxis","107/1610","476/18860",0.224789915966387,2.63325330132053,11.0259173822279,4.45169377923332e-21,3.63703381763362e-18,2.79753809073925e-18,"SEMA3F/CX3CL1/CCL26/ALOX5/TYMP/BCAR1/SPI1/CXCL2/MMP2/CMTM1/TGFB2/SEMA4G/TREM2/HSD3B7/PPM1F/CTSG/CHGA/CORO1A/CCL22/NOVA2/PRKD2/TGFB1/PIK3CG/CCL24/ENG/CCL8/MDK/BIN2/NEDD9/HRG/CSF3R/PGF/DUSP1/TNFSF11/CCR2/PLAU/NCKAP1L/NR4A1/PREX1/IL1B/C3/TNFSF14/FLRT3/FFAR2/ADGRE2/RAC2/LSP1/DOCK2/PDGFRA/SEMA4F/SEMA6D/SEMA7A/VAV1/TRPM2/EPHA2/XCL1/PLA2G7/NOTCH1/ADAM8/KIT/NBL1/MICOS10-NBL1/FCER1G/ITGB2/JAML/CCR5/CXCL16/S100A12/TAFA4/PPBP/RYK/CCR1/DEFA4/SEMA6B/CX3CR1/SEMA4C/LGALS9/RNASE2/RNASE3/PTAFR/PIK3CD/C3AR1/IL16/SAA1/CMKLR1/FOSL1/RHOG/FES/CSF1R/CSF1/PLA2G6/CXCR3/FPR3/CNR2/SPN/ELANE/L1CAM/GPSM3/LYN/ITGB3/CCL5/CCL4/CCL18/CCL4L1/CCL3L1/CCL3L3/CCL3",107
"GO:0002697","GO:0002697","regulation of immune effector process","98/1610","421/18860",0.232779097387173,2.72684085510689,10.9471835360178,1.56626544173138e-20,1.11968400765772e-17,8.61239905394136e-18,"FGR/BTK/TYROBP/WAS/TNFRSF1B/CD84/SPI1/CD5L/PTPRC/FCN1/MAVS/ICAM1/UNC13D/TGFB2/TREM2/IL12RB1/GATA1/PYCARD/CD37/FCER2/IL4I1/LILRB1/IL27RA/TGFB1/JAK3/GATA3/CD69/IFNG/CD86/CR2/NR4A3/CCR2/SASH3/CD244/NCKAP1L/PCK1/IL1B/C3/FFAR2/CFP/ADGRE2/RAC2/BST2/ULBP3/EPHB2/PRAM1/HAVCR2/HLX/IRF4/SEMA7A/GPR65/SECTM1/VAV1/FCN3/XCL1/IL2RG/FCGR1A/CD96/VSIG4/HK1/KIT/CD1D/CD1C/FCER1G/SPON2/ITGB2/SCIMP/LAPTM5/CGAS/GPRC5B/NOD2/AXL/CD300A/CX3CR1/INPP5D/LGALS9/ITGAM/MZB1/RASGRP4/CD7/ZNF683/GATA2/FUT7/TIGIT/FES/SH2D1A/LILRB4/TNFRSF4/PDCD1/LITAF/TLR7/ARID5A/SPN/SH2D1B/NCR3/LTA/TNF/LYN",98
"GO:0002449","GO:0002449","lymphocyte mediated immunity","91/1610","388/18860",0.234536082474227,2.74742268041237,10.6251382514529,2.24229722270379e-19,1.42485531296033e-16,1.09597194078119e-16,"BTK/TYROBP/WAS/SLAMF7/TNFRSF1B/PTPRC/ICAM1/UNC13D/TREM2/IL12RB1/CSF2RB/IL2RB/GZMB/CORO1A/FCER2/IL4I1/LILRB1/IL27RA/TGFB1/NKG7/GATA3/IFNG/CD2/CR2/CCR2/SASH3/NCKAP1L/IL1B/CD70/C3/HCST/ULBP3/HAVCR2/MYO1G/CD27/SECTM1/VAV1/XCL1/FCGR2A/FCGR1A/CD96/CD1D/CD1C/FCER1G/C1QC/FCMR/C2/INPP5D/LGALS9/RASGRP4/C1QB/C1QA/CD7/CD19/FUT7/PRF1/TIGIT/SH2D1A/IRF7/LILRB4/PDCD1/ARID5A/SPN/GZMM/SH2D1B/FCGR3A/NCR3/IGLC2/IGLC3/IGHA2/IGHG4/IGHG1/IGHG3/IGHD/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-15/IGHV1-18/IGHV3-20/IGHV3-21/IGHV3-33/IGHV4-34/IGHV4-39/IGHV4-61/IGHV4-59/LTA/TNF/IGLL5/IGHV3-30/IGHV1-69D",91
"GO:0070661","GO:0070661","leukocyte proliferation","86/1610","356/18860",0.241573033707865,2.82985553772071,10.6484577566509,3.04631421665746e-19,1.7421871005064e-16,1.3400575906749e-16,"CD38/CX3CL1/BTK/TYROBP/SLC11A1/TNFRSF1B/TNFRSF9/CNN2/PTPRC/BAX/CD209/TREM2/IL12RB1/CSF2RB/NFATC2/ELF4/TNFSF13B/CORO1A/PYCARD/CD276/CD37/IL4I1/LILRB1/RASAL3/EBI3/TGFB1/CD79A/PIK3CG/CCL8/CD86/CBLB/ZAP70/CR2/TNFSF11/CCR2/SASH3/NCKAP1L/IRF1/IL1B/TNFSF9/CD70/TNFSF14/RAC2/BST2/LILRB2/EPHB2/CD180/DOCK2/HAVCR2/LRRC32/TP53/VAV1/XCL1/TNFRSF21/GNRH1/DLG5/HHEX/VSIG4/MS4A1/KIT/CD1D/CHRNB2/IKZF3/LAPTM5/SLC4A2/CD300A/CCDC88B/INPP5D/LGALS9/LGALS9C/MZB1/CD19/CD151/CSF1R/CSF1/BTLA/LILRB4/TNFRSF4/ADA/SPN/CARD11/CD3E/FCGR3A/LST1/LYN/CCL5",86
