"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","38/817","100/9376",0.38,4.36093023255814,10.4391293908973,7.05906312248319e-16,2.37184520915435e-13,1.90223174669021e-13,"952/3674/960/3589/951/2208/945/921/3676/7850/914/1380/1441/3553/2209/931/3815/912/911/917/3678/915/2815/3684/929/926/924/930/2814/3119/1436/1435/2811/916/3111/7124/3690/102723407",38
"hsa04380","Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","44/817","142/9376",0.309859154929577,3.55598462254555,9.48184009665801,2.12705587407109e-14,3.57345386843943e-12,2.86592791453788e-12,"695/7305/6688/489/4791/7042/54209/4792/4773/10326/5971/10859/11024/7040/10990/3458/4688/8600/3553/2354/10288/4772/2212/2209/2353/126014/5293/8061/1436/3932/1435/11006/353514/2214/11025/102725035/107987425/107987462/10379/7124/23547/11027/79168/3690",44
"hsa04061","Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","33/817","100/9376",0.33,3.78712362301102,8.65687238824149,5.79038505316825e-12,6.48523125954844e-10,5.20118797758271e-10,"6376/10344/7133/2920/3560/6367/6369/6355/3587/8795/729230/8743/8740/6375/3561/1234/5473/1230/1524/8794/1436/1435/2833/4049/7124/6352/6351/6362/9560/388372/6349/414062/6348",33
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","63/817","298/9376",0.211409395973154,2.42616217459522,7.72977957836233,1.61775514037136e-11,1.35891431791194e-09,1.08985609456597e-09,"6376/51330/10344/9235/7133/3604/84957/2920/7042/3589/3594/1439/3560/10673/6367/50615/9466/10148/7040/6369/6355/3587/3458/7850/1441/8600/8795/729230/8743/3553/8744/970/8740/650/3976/3557/939/6375/27242/3561/1234/58191/5473/1230/1524/3603/8794/1436/1435/2833/7293/8784/4049/4050/7124/6352/6351/6362/9560/388372/6349/414062/6348",63
"hsa04662","Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","30/817","91/9376",0.32967032967033,3.78334028272829,8.24292219405202,5.52305592824941e-11,3.7114935837836e-09,2.97663645817231e-09,"695/27071/4792/4773/10859/11024/973/10990/1380/5880/10288/4772/7409/4794/3635/2353/5293/930/11006/353514/84433/11025/102725035/107987425/107987462/23547/11027/79168/4067/102723407",30
"hsa05340","Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","17/817","38/9376",0.447368421052632,5.13405913805321,7.8890862062308,4.07287098623354e-09,2.28080775229078e-07,1.82921924995752e-07,"695/5788/973/3718/7535/3561/29851/915/6890/926/930/4261/3932/100/916/102723407/84876",17
"hsa04518","Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","36/817","154/9376",0.233766233766234,2.68273220048006,6.50500987448369,2.69253280914006e-08,1.29241574838723e-06,1.03652390848098e-06,"3683/3674/3918/87/3385/3383/7040/1311/1277/595/1297/3676/2335/894/5228/718/5880/5156/1284/80144/1950/64098/3687/1292/83706/3689/3678/1278/3611/7148/3684/5293/7058/1282/2316/3690",36
"hsa04062","Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","40/817","193/9376",0.207253886010363,2.37847299294144,5.97819087672967,1.58932683790948e-07,6.67517271921982e-06,5.35352198032667e-06,"2268/6376/10344/7454/9564/2920/4792/3055/6367/3718/5294/6369/6355/59345/113/729230/57580/5880/1794/23533/7409/6375/6464/1234/58191/5473/1230/2786/1524/5293/2833/4067/6352/6351/6362/9560/388372/6349/414062/6348",40
"hsa04658","Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","25/817","93/9376",0.268817204301075,3.08498177175873,6.24287608614743,2.14713582184625e-07,8.01597373489268e-06,6.42885111570341e-06,"864/10683/3594/3560/4792/4773/3718/2625/3458/7535/54567/4772/4794/3561/4851/917/915/2353/3119/3932/3714/28514/919/916/3111",25
"hsa04650","Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","31/817","133/9376",0.233082706766917,2.67488795427982,6.01021843689184,2.67635829931907e-07,8.99256388571209e-06,7.21208131184929e-06,"3683/7305/7462/3383/3002/4773/3458/7535/962/8795/8743/51744/10870/5880/79465/4772/7409/2207/3689/6464/5293/5551/3932/4068/117157/919/2214/259197/4277/7124/102723407",31
