"sample_id","PC1","PC2","cluster"
"Sample_1_LivingDonor",-8.24930652912436,68.1167687808463,"2"
"Sample_2_LivingDonor",-46.9946587844736,10.5113618420474,"2"
"Sample_3_LivingDonor",44.6547468076704,83.0075229342107,"2"
"Sample_4_LivingDonor",-56.5000582858695,1.26145804119362,"2"
"Sample_5_LivingDonor",-54.7816806284131,14.6325284157335,"2"
"Sample_6_LivingDonor",-55.2789362261983,3.95754510097346,"2"
"Sample_7_LivingDonor",-77.2998130048383,23.0550301666856,"2"
"Sample_8_LivingDonor",-12.0854774472711,30.9658220039796,"2"
"Sample_322",-3.86633950304972,-2.05858752141781,"2"
"Sample_228",83.4412163613262,49.9935810748304,"1"
"Sample_143",39.7730997388989,9.58557041032516,"2"
"Sample_331",-17.4898591224896,-21.8703574628596,"2"
"Sample_214",38.1390775619312,57.0162698942043,"2"
"Sample_29",-24.1281716969344,-20.889823359368,"2"
"Sample_274",-44.7866368383092,49.9595217803479,"2"
"Sample_263",-28.548060953476,33.3162459313744,"2"
"Sample_311",-44.0356538233431,-2.17723483192725,"2"
"Sample_219",-11.2039425916786,-37.9210258544279,"2"
"Sample_243",-10.1831343513218,-70.7467643759644,"2"
"Sample_292",-55.3739366557735,53.6412643953762,"2"
"Sample_314",-95.4931969461535,13.814857937008,"2"
"Sample_146",-46.2676101643265,-46.837100131514,"2"
"Sample_176",-25.4419065532806,-72.8223005995211,"2"
"Sample_252",-30.1106849192756,3.08418983728911,"2"
"Sample_14",61.0114103287563,26.2511539350004,"2"
"Sample_244",227.558210741361,12.8922331976615,"1"
"Sample_285",-9.40752337424783,44.7190188978879,"2"
"Sample_67",142.775378085838,-49.0332113830217,"1"
"Sample_159",31.7442405680171,-46.3195566826396,"2"
"Sample_294",32.5374376788299,-38.3022351913978,"2"
"Sample_200",27.025589758321,-25.2071702333854,"2"
"Sample_85",-53.3167667023981,-41.0452441366912,"2"
"Sample_158",-44.9323940292577,-1.46614902531159,"2"
"Sample_116",-25.5817339117474,96.877473969006,"2"
"Sample_264",209.49971126408,127.158583039535,"1"
"Sample_336",157.755657280824,-68.5202882204096,"1"
"Sample_110",284.328781285677,92.6082425557335,"1"
"Sample_323",55.2128516037262,13.6619585514216,"2"
"Sample_296",-36.113169389437,0.418964784134765,"2"
"Sample_31",-66.3681267734928,-46.0750279060884,"2"
"Sample_187",45.8800922875591,-8.92751599563023,"2"
"Sample_46",33.0780644144441,-81.1550657395557,"2"
"Sample_148",-10.3968048619743,49.7337698421407,"2"
"Sample_23",-44.2944520613995,-27.2345688112872,"2"
"Sample_165",-16.0591780038031,4.26671415312299,"2"
"Sample_291",-40.51561883181,-17.8307860198942,"2"
"Sample_24",-103.043736302109,111.397280602359,"2"
"Sample_324",-11.348481805933,102.204636173948,"2"
