"ENSEMBL_gene_ID","SYMBOL","signature"
"ENSG00000011600","TYROBP","Inflammation"
"ENSG00000026025","VIM","Fibrosis"
"ENSG00000081041","CXCL2","Inflammation"
"ENSG00000081237","PTPRC","Inflammation"
"ENSG00000087245","MMP2","Fibrosis"
"ENSG00000092969","TGFB2","Fibrosis"
"ENSG00000100906","NFKBIA","Inflammation"
"ENSG00000105329","TGFB1","Fibrosis"
"ENSG00000106366","SERPINE1","Fibrosis"
"ENSG00000107796","ACTA2","Fibrosis"
"ENSG00000108691","CCL2","Inflammation"
"ENSG00000108821","COL1A1","Fibrosis"
"ENSG00000111537","IFNG","Inflammation"
"ENSG00000113140","SPARC","Fibrosis"
"ENSG00000113721","PDGFRB","Fibrosis"
"ENSG00000115414","FN1","Fibrosis"
"ENSG00000121807","CCR2","Inflammation"
"ENSG00000125538","IL1B","Inflammation"
"ENSG00000130635","COL5A1","Fibrosis"
"ENSG00000134871","COL4A2","Fibrosis"
"ENSG00000137801","THBS1","Fibrosis"
"ENSG00000142156","COL6A1","Fibrosis"
"ENSG00000149591","TAGLN","Fibrosis"
"ENSG00000157227","MMP14","Fibrosis"
"ENSG00000158869","FCER1G","Inflammation"
"ENSG00000161921","CXCL16","Inflammation"
"ENSG00000163823","CCR1","Inflammation"
"ENSG00000164692","COL1A2","Fibrosis"
"ENSG00000168329","CX3CR1","Inflammation"
"ENSG00000168542","COL3A1","Fibrosis"
"ENSG00000169896","ITGAM","Inflammation"
"ENSG00000174125","TLR1","Inflammation"
"ENSG00000174130","TLR6","Inflammation"
"ENSG00000187498","COL4A1","Fibrosis"
"ENSG00000203747","FCGR3A","Inflammation"
"ENSG00000232810","TNF","Inflammation"
"ENSG00000271503","CCL5","Inflammation"
"ENSG00000275302","CCL4","Inflammation"
"ENSG00000277632","CCL3","Inflammation"
