"ENSEMBL_gene_ID","SYMBOL","signature","Sample_1_LivingDonor","Sample_2_LivingDonor","Sample_3_LivingDonor","Sample_4_LivingDonor","Sample_5_LivingDonor","Sample_6_LivingDonor","Sample_7_LivingDonor","Sample_8_LivingDonor","Sample_322","Sample_228","Sample_143","Sample_331","Sample_214","Sample_29","Sample_274","Sample_263","Sample_311","Sample_219","Sample_243","Sample_292","Sample_314","Sample_146","Sample_176","Sample_252","Sample_14","Sample_244","Sample_285","Sample_67","Sample_159","Sample_294","Sample_200","Sample_85","Sample_158","Sample_116","Sample_264","Sample_336","Sample_110","Sample_323","Sample_296","Sample_31","Sample_187","Sample_46","Sample_148","Sample_23","Sample_165","Sample_291","Sample_24","Sample_324","Sample_289","Sample_281","Sample_293","Sample_155","Sample_191","Sample_181","Sample_286","Sample_313","Sample_66","Sample_117","Sample_141","Sample_207","Sample_234","Sample_231","Sample_307","Sample_257","Sample_99","Sample_208","Sample_255","Sample_201","Sample_262","Sample_127","Sample_239","Sample_47","Sample_51","Sample_204","Sample_12","Sample_235","Sample_256","Sample_69","Sample_195","Sample_186","Sample_54","Sample_229","Sample_35","Sample_295","Sample_179","Sample_147","Sample_88","Sample_120","Sample_156","Sample_193","Sample_164","Sample_133","Sample_190","Sample_197","Sample_34","Sample_68","Sample_226","Sample_72","Sample_111","Sample_319","Sample_337","mean_expression"
"ENSG00000100906","NFKBIA","Inflammation",42697,21452,26288,20567,22149,19361,19232,21091,10136,15695,9706,20161,17869,14471,17584,11578,1729,15847,8925,20180,2267,6171,12215,8947,22850,7729,11727,4780,15042,17637,8190,10248,9214,18826,17642,20225,9349,12325,11990,9181,15361,15065,11660,2594,16609,8893,8499,9700,16217,8307,5205,11911,9369,11828,3624,9511,11673,12190,20281,14123,1697,16038,3868,13683,8255,19392,1743,14216,2983,12945,17405,17863,11648,13188,7938,11768,8182,9202,14533,15226,12393,10863,11550,11711,22286,14080,13028,13011,25539,16450,18329,11951,9283,12199,19853,9671,9932,20910,21653,11330,14437,13347.7722772277
"ENSG00000108691","CCL2","Inflammation",1788,2771,1895,773,2009,874,661,2474,581,1860,6359,2784,2097,2762,235,6508,951,1236,2839,3943,402,551,1577,679,4812,3876,2086,5576,2468,4327,394,3021,2671,17545,5529,4257,4487,894,2519,3881,3071,2547,1617,1587,3463,167,2349,1014,1467,8702,974,1474,2246,2990,2182,1379,2062,931,2252,1806,4144,1395,4380,2291,935,2029,828,1116,1989,1247,5040,1402,1415,3233,8835,861,2283,9688,2962,6997,4749,5659,5740,1717,4233,3111,1599,4733,1697,3467,2761,3878,2019,2231,6902,1313,3039,2157,2971,2874,6024,2942.33663366337
"ENSG00000161921","CXCL16","Inflammation",852,1145,1379,612,849,732,622,875,2154,3964,10690,2343,2508,3256,1514,4457,505,1897,3250,2040,1038,1483,1656,2098,3008,1517,2076,3598,3338,4282,1898,3591,3133,3037,3658,3691,2898,2533,2106,3151,3757,3440,1648,1073,2855,1888,723,3150,2699,3263,1691,2054,2276,4051,1589,2030,3821,2744,2590,2267,1242,2697,2147,3847,1767,1587,1217,2745,972,3432,5167,1699,2323,4115,2388,1472,2524,1570,2323,4127,2995,3772,3348,2939,4941,3586,2626,3045,5277,6236,3980,5942,2790,2550,5811,2312,3817,2659,2873,5111,3730,2759.84158415842
"ENSG00000158869","FCER1G","Inflammation",1237,492,1154,231,104,254,220,543,1696,2296,4008,2225,2108,1000,558,5751,1256,1376,2228,3464,2195,1295,2121,1087,3950,4316,2013,6584,2954,2431,1191,1309,3228,4111,4581,2549,6333,1551,1684,1385,1637,2079,3052,1611,3159,235,1342,448,2456,1005,854,1352,2133,3799,2740,739,4737,799,2333,1628,2504,2759,2234,557,1669,1955,454,1519,2967,1896,5534,3588,1764,2510,4018,569,1309,3823,2684,4727,1607,1682,2126,1394,2355,2767,2132,7108,2738,3446,2260,866,2403,3128,3256,1245,4233,1172,2964,4008,2858,2296.9801980198
"ENSG00000203747","FCGR3A","Inflammation",361,372,1083,126,53,148,303,478,2448,1435,1865,3269,1332,1474,317,3661,1224,2013,2724,2187,2246,1794,4949,854,2543,2686,1483,6432,3373,2508,853,1084,3255,1600,1532,2977,3372,1556,2884,2166,1478,2367,1757,1639,4202,35,155,10,1577,855,1105,1050,2060,2310,1738,567,8282,1142,2943,1480,1682,1782,1878,587,1537,1066,335,1659,3098,1847,10618,1283,2027,3035,1827,542,1323,811,1805,3140,806,1681,2375,2124,2381,5078,3771,6536,3117,4513,3653,886,3227,4600,872,1930,2208,703,4723,4288,1939,2149.15841584158
"ENSG00000081237","PTPRC","Inflammation",534,596,1477,266,163,361,347,368,1005,1600,4733,1955,692,916,323,2249,1273,2334,2609,1108,863,757,3678,947,2742,969,1060,4546,2738,2541,1032,1232,1387,798,2260,2622,2151,1221,1055,1270,1034,1993,778,1955,1458,303,146,92,1050,934,1624,622,1909,2121,1234,423,3524,1145,1409,1206,1618,2000,992,493,826,688,385,828,1809,1795,7482,1028,2091,2462,2494,495,1623,373,1678,1314,613,1534,1893,833,2588,3906,2873,3607,1816,1357,3094,503,2850,5688,603,1994,1497,625,3468,2210,1453,1616.0099009901
"ENSG00000011600","TYROBP","Inflammation",522,412,925,136,79,120,226,388,736,1763,2348,992,1013,450,468,4525,513,653,1021,1729,1102,507,770,675,1558,2387,1230,3553,1232,1192,720,638,1441,3080,3315,1269,3786,912,1092,735,812,990,2020,745,1602,81,703,472,1067,627,399,923,1317,1845,1324,383,2161,390,1006,987,2245,1716,1006,367,849,1157,274,687,1332,839,2562,1406,850,1283,2775,383,588,1505,1354,3337,1083,723,926,599,1238,1446,1017,3101,1045,1703,901,360,468,1262,1822,559,2212,957,1045,1902,1993,1217.26732673267
"ENSG00000168329","CX3CR1","Inflammation",158,214,562,176,54,54,84,135,826,854,1442,935,663,942,148,1869,440,2142,1826,959,478,1054,3168,666,895,1265,657,3200,2107,1227,630,900,1811,1232,440,2111,1620,577,560,835,950,1311,1456,1205,848,89,296,92,551,538,1245,439,1363,1293,869,395,2865,412,1453,599,1164,1440,483,129,567,259,162,666,1071,1038,3459,680,1534,1749,389,321,902,366,928,842,552,499,1556,537,1798,2746,1943,2400,895,1366,1391,595,2357,2028,449,811,1048,185,2986,293,772,1025.15841584158
"ENSG00000271503","CCL5","Inflammation",275,79,332,14,101,67,68,107,401,1160,1681,333,325,511,209,651,194,571,480,798,231,252,383,708,1823,237,989,1208,564,657,371,313,474,798,633,480,2103,581,471,187,533,736,1219,458,425,54,529,67,451,520,386,177,944,920,443,217,207,183,849,356,1179,542,263,194,203,301,81,738,489,206,895,1133,267,1871,1071,122,1108,701,1227,499,341,1075,481,163,1224,2370,758,598,2426,933,792,267,458,1265,272,147,905,229,1127,627,543,609.752475247525
"ENSG00000275302","CCL4","Inflammation",136,160,421,5,63,59,16,114,154,809,707,249,232,276,134,902,94,343,431,1113,126,117,713,139,1517,313,255,1851,633,826,161,142,456,1190,518,341,3801,162,219,281,218,251,93,395,422,1,160,146,449,289,226,41,533,937,158,33,76,55,912,219,1077,535,236,63,68,161,53,153,569,249,962,456,217,632,473,111,508,477,772,399,405,1188,461,263,329,925,268,891,119,479,229,122,203,435,125,177,321,120,941,523,692,427.524752475248
